year,FOD1,wfh,perwt
2012.0,1100,0.1117964533538936,112
2012.0,1101,0.030998920733900946,207
2012.0,1102,0.07156748346946713,31
2012.0,1103,0.02647556484522743,214
2012.0,1104,0.0,44
2012.0,1105,0.030340264650283555,107
2012.0,1106,0.24492979719188768,18
2012.0,1199,0.22659780503550678,19
2012.0,1301,0.01802426343154246,280
2012.0,1302,0.0,45
2012.0,1303,0.025272161741835147,191
2012.0,1401,0.030727106784301794,378
2012.0,1501,0.027137106322519536,391
2012.0,1901,0.025404284727021425,2112
2012.0,1902,0.04142455252392477,699
2012.0,1903,0.03920262012448427,635
2012.0,1904,0.03936311968020015,645
2012.0,2001,0.036870472724776,238
2012.0,2100,0.0330877487095778,377
2012.0,2101,0.0,46
2012.0,2102,0.05829144973592674,1045
2012.0,2105,0.013236068286079566,120
2012.0,2106,0.00986378581493659,114
2012.0,2107,0.02823501141415355,82
2012.0,2201,0.0,92
2012.0,2300,0.01355362443228552,974
2012.0,2301,0.0,7
2012.0,2303,0.0,5
2012.0,2304,0.010227905783085772,1595
2012.0,2305,0.005945984669388925,133
2012.0,2306,0.004045028377912264,285
2012.0,2307,0.02782544741358176,350
2012.0,2308,0.023425863236289778,71
2012.0,2309,0.011356077164306757,199
2012.0,2310,0.01747623463946209,340
2012.0,2311,0.010997386759581881,205
2012.0,2312,0.019590578912612813,141
2012.0,2313,0.014479670686791363,275
2012.0,2314,0.018110320475094966,367
2012.0,2399,0.0492379835873388,98
2012.0,2400,0.02659489984999559,352
2012.0,2401,0.027812267196424136,139
2012.0,2402,0.04584474885844749,53
2012.0,2403,0.0,21
2012.0,2404,0.005470841578395996,80
2012.0,2405,0.011108259705979397,244
2012.0,2406,0.023712930689674876,474
2012.0,2407,0.03441285891443289,380
2012.0,2408,0.021373197022577756,584
2012.0,2409,0.03964321110009911,33
2012.0,2410,0.0,37
2012.0,2411,0.0,4
2012.0,2412,0.02447953663734222,163
2012.0,2413,0.0,32
2012.0,2414,0.01707243494486095,803
2012.0,2415,0.0,6
2012.0,2416,0.08375634517766498,8
2012.0,2417,0.0,13
2012.0,2418,0.0,16
2012.0,2419,0.0,23
2012.0,2499,0.07228099873042743,99
2012.0,2500,0.03344884737080006,60
2012.0,2501,0.0,27
2012.0,2502,0.06369792264432457,69
2012.0,2503,0.0,51
2012.0,2504,0.005096660808435852,52
2012.0,2599,0.006711409395973154,81
2012.0,2601,0.15032133676092546,135
2012.0,2602,0.02804108467773876,656
2012.0,2603,0.012802887094002405,114
2012.0,2901,0.026159294950992503,551
2012.0,3201,0.0,8
2012.0,3202,0.02717180844197754,123
2012.0,3301,0.042418264595906405,1580
2012.0,3302,0.06494894324388506,232
2012.0,3401,0.021542794470096,624
2012.0,3402,0.007914523149980214,64
2012.0,3501,0.0,6
2012.0,3600,0.01968943257307929,1653
2012.0,3601,0.029981064590784767,277
2012.0,3602,0.0,10
2012.0,3603,0.010103989969761782,138
2012.0,3604,0.04814992791926958,98
2012.0,3605,0.013316261203585146,25
2012.0,3606,0.05049442457395329,91
2012.0,3607,0.0,7
2012.0,3608,0.0,128
2012.0,3609,0.053098676293622145,61
2012.0,3611,0.04420016031146227,74
2012.0,3699,0.05039354962564792,97
2012.0,3700,0.016062465142219744,610
2012.0,3701,0.04009163802978236,44
2012.0,3702,0.03416370106761566,52
2012.0,3801,0.0,5
2012.0,4000,0.015198404511381611,122
2012.0,4001,0.014919474360241082,280
2012.0,4002,0.05738803968892464,154
2012.0,4005,0.29013254786450665,7
2012.0,4006,0.035333707234997194,36
2012.0,4007,0.008247263758285802,123
2012.0,4101,0.028179578688058617,1078
2012.0,4801,0.032293075225962566,518
2012.0,4901,0.02724390449201762,339
2012.0,5000,0.0,9
2012.0,5001,0.0,18
2012.0,5002,0.060767590618336885,34
2012.0,5003,0.010317838907439798,455
2012.0,5004,0.033796296296296297,131
2012.0,5005,0.0,17
2012.0,5006,0.0,19
2012.0,5007,0.047422754319306044,226
2012.0,5008,0.0,26
2012.0,5098,0.02899725121947344,442
2012.0,5102,0.0,24
2012.0,5200,0.02561277168018741,2927
2012.0,5201,0.0,16
2012.0,5202,0.0,12
2012.0,5203,0.013082039911308204,34
2012.0,5205,0.050955414012738856,22
2012.0,5206,0.0,11
2012.0,5299,0.01609455551364265,78
2012.0,5301,0.021251482218813574,1514
2012.0,5401,0.0,38
2012.0,5402,0.018164157357940747,78
2012.0,5403,0.005802023632632845,130
2012.0,5404,0.01820345281088867,387
2012.0,5500,0.03810512269256431,126
2012.0,5501,0.03532812038746971,1259
2012.0,5502,0.04760428659994686,396
2012.0,5503,0.018632975822577714,199
2012.0,5504,0.010679611650485437,217
2012.0,5505,0.024894251438873864,273
2012.0,5506,0.03168108558331256,1387
2012.0,5507,0.0230207357030542,1093
2012.0,5599,0.011708482676224612,35
2012.0,5601,0.01500080866893094,227
2012.0,5701,0.006490384615384616,27
2012.0,5901,0.011034413261450094,169
2012.0,6000,0.0563668885568084,696
2012.0,6001,0.028489214116929645,454
2012.0,6002,0.04874978143031999,537
2012.0,6003,0.0042398831676638245,181
2012.0,6004,0.04365463654179026,1102
2012.0,6005,0.07330314888037533,408
2012.0,6006,0.03823099070184547,196
2012.0,6007,0.03015075376884422,202
2012.0,6099,0.03324675324675325,63
2012.0,6100,0.0050112139052425,233
2012.0,6102,0.006796416434970652,145
2012.0,6103,0.03559780076414127,181
2012.0,6104,0.0,91
2012.0,6105,0.0029396325459317583,168
2012.0,6106,0.0,70
2012.0,6107,0.004052370272394425,2252
2012.0,6108,0.012193572970913247,55
2012.0,6109,0.020741853478160387,280
2012.0,6110,0.03157132512671977,195
2012.0,6199,0.028689501708654534,108
2012.0,6200,0.021202457107178777,1954
2012.0,6201,0.018459341156162018,1690
2012.0,6202,0.010658140154543033,30
2012.0,6203,0.030979122063652123,3514
2012.0,6204,0.03576785508249683,150
2012.0,6205,0.020926177097461734,156
2012.0,6206,0.025663142628143964,2199
2012.0,6207,0.02836653151782296,1746
2012.0,6209,0.02427442637896976,223
2012.0,6210,0.07366874770473743,251
2012.0,6211,0.01770890979524073,451
2012.0,6212,0.04170673076923077,224
2012.0,6299,0.02923576063446287,254
2012.0,6402,0.023559184165336065,1157
2012.0,6403,0.0026746907388833165,23
2013.0,1100,0.042813036020583194,120
2013.0,1101,0.021838331160365057,199
2013.0,1102,0.21518544436669,34
2013.0,1103,0.033097928436911485,222
2013.0,1104,0.02988338192419825,39
2013.0,1105,0.007697241821680564,120
2013.0,1106,0.05243161094224924,13
2013.0,1199,0.023624595469255664,37
2013.0,1301,0.018584945629148426,332
2013.0,1302,0.012224352828379675,50
2013.0,1303,0.01627445421037709,196
2013.0,1401,0.024280793673895115,411
2013.0,1501,0.025335492827394723,433
2013.0,1901,0.03302002738988447,2236
2013.0,1902,0.048979129427758616,695
2013.0,1903,0.036289108967652244,663
2013.0,1904,0.033713854217563184,614
2013.0,2001,0.046539122957867586,255
2013.0,2100,0.030660328826882317,429
2013.0,2101,0.027856916745805635,58
2013.0,2102,0.04128274833401496,1081
2013.0,2105,0.01341609931918302,140
2013.0,2106,0.045919134225161584,129
2013.0,2107,0.005716661469701694,85
2013.0,2201,0.007759836965041542,104
2013.0,2300,0.014110555033988155,992
2013.0,2301,0.0,9
2013.0,2303,0.0,2
2013.0,2304,0.02214754949990465,1562
2013.0,2305,0.02764552296114268,141
2013.0,2306,0.01449427214305672,265
2013.0,2307,0.01115894414863487,345
2013.0,2308,0.017584833081467233,77
2013.0,2309,0.009480993501290839,209
2013.0,2310,0.009690644800596348,311
2013.0,2311,0.01958581615707727,215
2013.0,2312,0.008288833984219335,124
2013.0,2313,0.018286573146292586,266
2013.0,2314,0.0175139799596923,352
2013.0,2399,0.053907528641571195,109
2013.0,2400,0.02346938775510204,441
2013.0,2401,0.0,128
2013.0,2402,0.04882029974773705,64
2013.0,2403,0.042666666666666665,22
2013.0,2404,0.08867491976157726,99
2013.0,2405,0.011218850316047259,279
2013.0,2406,0.0196776052950647,500
2013.0,2407,0.035932332739760875,445
2013.0,2408,0.012314681970349114,661
2013.0,2409,0.0,31
2013.0,2410,0.0,69
2013.0,2411,0.0,5
2013.0,2412,0.05730766819236316,149
2013.0,2413,0.01343201754385965,35
2013.0,2414,0.014920190544397062,890
2013.0,2415,0.0,6
2013.0,2416,0.0,6
2013.0,2417,0.21134453781512605,20
2013.0,2418,0.04419410745233969,14
2013.0,2419,0.0,24
2013.0,2499,0.005480975454762094,115
2013.0,2500,0.06938907445318393,78
2013.0,2501,0.0,23
2013.0,2502,0.05590391239070917,99
2013.0,2503,0.01687956204379562,49
2013.0,2504,0.03985910270671116,56
2013.0,2599,0.030007694280584765,115
2013.0,2601,0.08541846419327007,148
2013.0,2602,0.029948460788410642,616
2013.0,2603,0.05073129962390305,117
2013.0,2901,0.021092436974789915,559
2013.0,3201,0.0,9
2013.0,3202,0.034812245146369665,141
2013.0,3301,0.04090245818834886,1634
2013.0,3302,0.03195300186273105,209
2013.0,3401,0.03476808227402051,638
2013.0,3402,0.04303249097472924,67
