acs_code,acs_title,eloundou_mean,handa_mean,handa_auto_mean,eisfeldt_mean,occ_top5_mean,eloundou_std,handa_std,handa_auto_std,eisfeldt_std
1101,Agriculture Production and Management,0.4085259193226346,0.14769823594516054,0.3295715569826867,0.2394877484940276,0.21687300391143646,-0.333760864,-0.439061404,0.009057312,-0.440465711
1102,Agricultural Economics,0.43104310051436373,0.16665707585931985,0.3369086984023852,0.2596856500713965,0.201025284,-0.012366084,-0.105759536,0.099039111,-0.135719999
1103,Animal Sciences,0.3400568989568613,0.11131737922810632,0.2820026236476931,0.1967356266996557,0.1331335155728707,-1.311040638,-1.078647346,-0.574322226,-1.085509246
1104,Food Science,0.42644039249847865,0.13689991228154852,0.3253672304840757,0.27913292225354247,0.127790711,-0.078061977,-0.628899045,-0.04250403,0.15770022617999976
1105,Plant Science and Agronomy,0.3454059317480258,0.099816851,0.31644738392514193,0.1968997562018709,0.093556719,-1.234692218,-1.280829937,-0.151895929,-1.083032862
1199,Miscellaneous Agriculture,0.43027261718386844,0.19768547453298096,0.3651623327872782,0.27348460421905646,0.22546216885839526,-0.023363434,0.439728652,0.4455382024365791,0.072478467
1301,Environmental Science,0.4107062712076774,0.13961265988021745,0.35748793632066844,0.26256202528283346,0.15611629756195539,-0.302640019,-0.58120816,0.35142035,-0.092321282
1302,Forestry,0.3493227604112546,0.075686776,0.3557087253022507,0.18242827043198856,0.074809699,-1.178786095,-1.705043615,0.32960032481091345,-1.301378477
1303,Natural Resources Management,0.3797043422649409,0.1142927376242061,0.34353173687855065,0.23067993897172304,0.12044362246318094,-0.745140261,-1.026339688,0.18026323884113712,-0.573357843
1401,Architecture,0.4454209103927062,0.10452606646141967,0.37327512990605133,0.25892937527827087,0.099881051,0.1928528998229477,-1.198040581,0.545032547,-0.147130664
1501,"Area, Ethnic, Cultural, Gender, and Group Studies (previously Area, Ethnic, Cultural, and Gender Studies)",0.44138389031656994,0.1925329472515301,0.36306210368844327,0.2808913501872013,0.234090066,0.13523124777472775,0.34914573754602485,0.41978125149142587,0.18423136714292074
